"","id","rid","sex","birth","race","educ","marital","children","occupat","arrests","jail","crime01","crime02","crime03","crime04","crime05","crime06","crime07","crime08","crime09","crime10","crime11","crime12","crime13","crime14"
"522","0522","991","1","41","2","08","3","00","30","01","003","21","00","00","00","00","00","00","00","00","00","00","00","00","00"
"523","0523","991","1","52","1","12","1","00","00","01","015","01","00","00","00","00","00","00","00","00","00","00","00","00","00"
"524","0524","991","1","45","2","08","1","03","10","01","180","22","00","00","00","00","00","00","00","00","00","00","00","00","00"
"525","0525","991","1","47","1","12","4","01","00","01","090","12","00","00","00","00","00","00","00","00","00","00","00","00","00"
"526","0526","991","1","37","1","12","1","00","00","01","030","25","00","00","00","00","00","00","00","00","00","00","00","00","00"
"527","0527","991","1","26","2","07","1","00","00","01","365","21","00","00","00","00","00","00","00","00","00","00","00","00","00"
"528","0528","991","1","38","2","09","1","00","20","01","090","22","00","00","00","00","00","00","00","00","00","00","00","00","00"
"529","0529","991","1","51","1","12","1","00","10","01","365","16","00","00","00","00","00","00","00","00","00","00","00","00","00"
"530","0530","991","1","45","1","11","3","01","20","01","060","23","00","00","00","00","00","00","00","00","00","00","00","00","00"
"531","0531","991","1","53","1","13","1","00","60","01","005","11","00","00","00","00","00","00","00","00","00","00","00","00","00"
"532","0532","991","1","09","1","08","3","03","10","01","015","01","00","00","00","00","00","00","00","00","00","00","00","00","00"
"533","0533","991","1","46","2","10","1","00","10","02","365","12","01","00","00","00","00","00","00","00","00","00","00","00","00"
"534","0534","991","1","54","2","10","1","01","10","01","180","61","00","00","00","00","00","00","00","00","00","00","00","00","00"
"535","0535","991","1","34","2","10","2","04","00","01","017","26","00","00","00","00","00","00","00","00","00","00","00","00","00"
"536","0536","991","1","52","2","11","1","00","10","01","365","11","00","00","00","00","00","00","00","00","00","00","00","00","00"
"537","0537","991","1","53","2","10","1","00","20","01","270","12","00","00","00","00","00","00","00","00","00","00","00","00","00"
"538","0538","991","1","50","1","12","1","00","20","01","030","33","00","00","00","00","00","00","00","00","00","00","00","00","00"
"539","0539","991","1","51","1","12","1","00","00","01","365","71","00","00","00","00","00","00","00","00","00","00","00","00","00"
"540","0540","991","1","49","2","09","1","00","20","01","015","01","00","00","00","00","00","00","00","00","00","00","00","00","00"
"541","0541","991","1","24","2","03","1","00","10","01","015","01","00","00","00","00","00","00","00","00","00","00","00","00","00"
"542","0542","991","1","52","2","12","1","00","00","01","030","11","00","00","00","00","00","00","00","00","00","00","00","00","00"
"543","0543","991","1","53","2","12","1","00","00","01","030","11","00","00","00","00","00","00","00","00","00","00","00","00","00"
"544","0544","991","1","55","2","11","1","01","20","01","180","61","00","00","00","00","00","00","00","00","00","00","00","00","00"
"545","0545","991","1","45","2","14","1","01","30","01","030","83","00","00","00","00","00","00","00","00","00","00","00","00","00"
"546","0546","991","1","36","2","12","4","06","00","01","090","02","00","00","00","00","00","00","00","00","00","00","00","00","00"
"547","0547","991","1","53","1","08","1","00","40","01","015","01","00","00","00","00","00","00","00","00","00","00","00","00","00"
"548","0548","991","1","52","1","09","1","00","10","01","008","02","00","00","00","00","00","00","00","00","00","00","00","00","00"
"549","0549","991","1","37","1","07","1","00","10","01","180","11","00","00","00","00","00","00","00","00","00","00","00","00","00"
"550","0550","991","1","23","1","16","2","02","10","01","090","82","00","00","00","00","00","00","00","00","00","00","00","00","00"
"551","0551","991","1","45","1","10","2","02","00","01","180","02","00","00","00","00","00","00","00","00","00","00","00","00","00"
"552","0552","991","1","46","2","10","1","00","10","01","030","32","00","00","00","00","00","00","00","00","00","00","00","00","00"
"553","0553","991","1","00","1","00","0","00","00","01","014","13","00","00","00","00","00","00","00","00","00","00","00","00","00"
"554","0554","991","1","21","1","11","2","05","10","01","365","41","00","00","00","00","00","00","00","00","00","00","00","00","00"
"555","0555","991","1","50","2","11","1","00","00","01","090","33","00","00","00","00","00","00","00","00","00","00","00","00","00"
"556","0556","991","1","53","1","12","1","00","20","01","033","31","00","00","00","00","00","00","00","00","00","00","00","00","00"
"557","0557","991","1","21","1","06","1","00","10","02","030","01","01","00","00","00","00","00","00","00","00","00","00","00","00"
"558","0558","991","1","33","1","11","0","00","00","01","015","24","00","00","00","00","00","00","00","00","00","00","00","00","00"
"559","0559","991","1","47","2","12","1","00","10","03","045","01","01","01","00","00","00","00","00","00","00","00","00","00","00"
"560","0560","991","1","53","2","12","1","00","20","01","365","12","00","00","00","00","00","00","00","00","00","00","00","00","00"
